recv_time sog lng lat
2017-02-11 12:30:57 114 121.46199 31.463796
2017-02-11 12:31:16 115 121.461213 31.464631
2017-02-11 12:31:26 116 121.460825 31.465053
2017-02-11 12:32:07 117 121.459275 31.466755
2017-02-11 12:32:16 117 121.458923 31.467145
2017-02-11 12:32:26 117 121.458488 31.467618
2017-02-11 12:32:36 118 121.458091 31.468045
2017-02-11 12:33:07 119 121.456875 31.469333
2017-02-11 12:33:27 120 121.456063 31.470205
2017-02-11 12:33:47 121 121.455266 31.471093
2017-02-11 12:33:57 121 121.454856 31.471533
2017-02-11 12:34:16 121 121.454093 31.472386
2017-02-11 12:34:37 121 121.45327 31.473335
2017-02-11 12:35:16 122 121.451721 31.475113
2017-02-11 12:35:26 122 121.451288 31.475611
2017-02-11 12:35:36 122 121.450963 31.47597
2017-02-11 12:35:46 122 121.45052 31.476463
2017-02-11 12:35:55 122 121.450198 31.476823
2017-02-11 12:36:15 122 121.449308 31.47781
2017-02-11 12:36:27 122 121.44885 31.478308
2017-02-11 12:36:46 123 121.448045 31.479155
2017-02-11 12:37:05 122 121.44719 31.480025
2017-02-11 12:37:26 122 121.446283 31.480923
2017-02-11 12:37:46 122 121.445448 31.481723
2017-02-11 12:38:26 122 121.443668 31.483501
2017-02-11 12:38:46 122 121.442831 31.484333
2017-02-11 12:38:55 122 121.442438 31.484718
2017-02-11 12:39:05 122 121.44195 31.485168
2017-02-11 12:39:15 122 121.4415 31.485581
2017-02-11 12:39:26 123 121.441001 31.486036
2017-02-11 12:40:06 122 121.43921 31.48763
2017-02-11 12:40:15 122 121.43875 31.488043
2017-02-11 12:40:27 121 121.438246 31.488503
2017-02-11 12:40:35 120 121.43789 31.488833
2017-02-11 12:41:05 116 121.436495 31.490075
2017-02-11 12:41:26 114 121.435575 31.490886
2017-02-11 12:41:34 113 121.435236 31.49119
2017-02-11 12:41:55 108 121.434358 31.491963
2017-02-11 12:42:06 106 121.433948 31.49232
2017-02-11 12:42:15 105 121.433545 31.492668
2017-02-11 12:42:26 102 121.433101 31.493045
2017-02-11 12:42:35 101 121.432793 31.493315
2017-02-11 12:43:06 96 121.43163 31.494311
2017-02-11 12:43:15 94 121.43126 31.494611
2017-02-11 12:43:26 93 121.430856 31.49494
2017-02-11 12:43:35 91 121.430571 31.495175
2017-02-11 12:43:46 90 121.430181 31.495495
2017-02-11 12:43:56 89 121.42983 31.495781
2017-02-11 12:44:06 87 121.429483 31.496063
2017-02-11 12:44:15 86 121.429141 31.496336
2017-02-11 12:44:27 84 121.428771 31.496635
2017-02-11 12:44:35 84 121.428505 31.49685
2017-02-11 12:44:45 82 121.428241 31.49706
2017-02-11 12:45:16 80 121.427175 31.49789
2017-02-11 12:45:26 80 121.42681 31.498163
2017-02-11 12:45:55 82 121.425831 31.498883
2017-02-11 12:46:16 85 121.425138 31.49938
2017-02-11 12:46:55 90 121.423663 31.500408
2017-02-11 12:47:16 93 121.422886 31.500945
2017-02-11 12:47:26 94 121.422491 31.501221
2017-02-11 12:47:35 95 121.422131 31.501475
2017-02-11 12:47:56 98 121.421293 31.50202
2017-02-11 12:48:06 99 121.420761 31.502333
2017-02-11 12:48:26 101 121.419865 31.50287
2017-02-11 12:48:46 103 121.418986 31.503375
2017-02-11 12:50:06 111 121.415078 31.505615
2017-02-11 12:50:26 112 121.414073 31.506191
2017-02-11 12:50:36 112 121.413663 31.506421
2017-02-11 12:50:57 114 121.412533 31.507066
2017-02-11 12:51:06 115 121.412011 31.507358
2017-02-11 12:51:57 117 121.409373 31.50884
2017-02-11 12:52:06 117 121.4089 31.509116
2017-02-11 12:52:25 119 121.407835 31.509726
2017-02-11 12:52:34 119 121.407348 31.510003
2017-02-11 12:52:46 119 121.40681 31.510316
2017-02-11 12:53:35 121 121.404171 31.511786
2017-02-11 12:54:06 121 121.402341 31.512781
2017-02-11 12:54:46 123 121.400088 31.513966
2017-02-11 12:55:36 124 121.397233 31.515496
2017-02-11 12:55:47 124 121.396666 31.515811
